Family_Scientific,Family_Common,General_characteristics_Australia_focused,Rainforest_species_present?,Examples from your list,Familiar / interesting native Australian examples and approximate diversity,Key_references
Plantaginaceae,plantain family,"Plantaginaceae includes herbs and shrubs found in wetlands, grasslands and alpine habitats. Modern DNA studies greatly expanded the family to include many former snapdragon relatives.",No,,"Native plantains (Plantago spp.), speedwells (Veronica spp.). Some alpine species are adapted to snow cover and short growing seasons.",https://profiles.ala.org.au/opus/foa/profile/Plantaginaceae ; https://anpsa.org.au/plant-family/plantaginaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/4d3e4f13-c03f-40cc-a9f7-cf53f1ecb66d
Nyctaginaceae,NA,"Nyctaginaceae includes herbs, climbers and shrubs often associated with arid and tropical regions. Flowers are frequently colourful and open during cooler evening conditions.",No major rainforest taxa,,"Tarvines (Boerhavia spp.), spiderlings (Commicarpus spp.). Some species produce sticky fruits that attach to animals for dispersal.",https://profiles.ala.org.au/opus/foa/profile/Nyctaginaceae ; https://anpsa.org.au/plant-family/nyctaginaceae/ ; https://florabase.dbca.wa.gov.au/browse/profile/23036
Ranunculaceae,buttercup family,"Ranunculaceae includes herbs often associated with cool temperate forests, alpine meadows and wet habitats. Many species have delicate flowers and finely divided leaves.",Wet/alpine rather than rainforest,,"Buttercups (Ranunculus spp.), native clematis (Clematis aristata). Several alpine species flower rapidly during short snow-free periods.",https://profiles.ala.org.au/opus/foa/profile/Ranunculaceae ; https://anpsa.org.au/plant-family/ranunculaceae/ ; https://www.anbg.gov.au/cpbr/cd-keys/rfk/key/rainforest/Media/Html/families/Ranunculaceae.htm
Oxalidaceae,NA,"Oxalidaceae includes herbs and small shrubs often recognised by clover-like leaves and sour-tasting tissues rich in oxalic acid. Australian species occur in forests, grasslands and rocky habitats.",Minor,Moist understory herbs,Native sorrels (Oxalis spp.). Many species fold their leaves in response to light or touch.,https://profiles.ala.org.au/opus/foa/profile/Oxalidaceae ; https://anpsa.org.au/plant-family/oxalidaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/e6bce0d2-c2b2-4472-b8c7-c8d47f0b8453
Orchidaceae,orchid family,"Orchidaceae is one of the world’s largest flowering plant families and includes many highly specialised pollination strategies. Australia has a rich diversity of terrestrial orchids, particularly in southern heathlands and forests. Many species rely on symbiotic fungi to germinate and survive.","Potentially yes, but underrepresented",,"Donkey orchids (Diuris spp.), spider orchids (Caladenia spp.), sun orchids (Thelymitra spp.). Some Australian orchids mimic female insects in shape and scent to attract pollinators.",https://profiles.ala.org.au/opus/foa/profile/Orchidaceae ; https://www.anbg.gov.au/orchids/ ; https://anpsa.org.au/plant-family/orchidaceae/
Caryophyllaceae,pink family,"Caryophyllaceae includes herbs often with opposite leaves and swollen stem nodes. Australian species are especially common in alpine, coastal and arid habitats.",No,,"Stitchworts (Stellaria spp.), pearlworts (Sagina spp.). Many species produce small but intricate star-shaped flowers.",https://profiles.ala.org.au/opus/foa/profile/Caryophyllaceae ; https://anpsa.org.au/plant-family/caryophyllaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/8d92cb91-bf66-4a85-bf87-7bb5b4f5a97f
Polygonaceae,knotweed family,"Polygonaceae includes herbs and shrubs often recognised by swollen stem joints and papery sheaths around the nodes. Australian native species occur in wetlands, saltmarshes and arid regions.",No,,"Native docks (Rumex spp.), native knotweeds (Persicaria spp.). Some species are highly tolerant of flooding and saline conditions.",https://profiles.ala.org.au/opus/foa/profile/Polygonaceae ; https://anpsa.org.au/plant-family/polygonaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/e4c1b5c2-cbc5-4f0a-bcf7-8fa6d9ef4b58
Campanulaceae,bellflower family,Campanulaceae includes herbs with bell-shaped or tubular flowers often adapted for insect pollination. Australia contains many small colourful species in alpine and heathland ecosystems.,Minor,Moist forest herbs,"Bluebells (Wahlenbergia spp.; ~40 Australian species), lobelias (Lobelia spp.). Bluebells are among Australia’s most widespread native wildflowers.",https://profiles.ala.org.au/opus/foa/profile/Campanulaceae ; https://anpsa.org.au/plant-family/campanulaceae/ ; https://www.anbg.gov.au/gnp/interns-2008/wahlenbergia-stricta.html
Zamiaceae,NA,"Zamiaceae contains Australia’s native cycads, an ancient group of seed plants that existed alongside dinosaurs. Cycads are slow-growing and highly long-lived.",Yes,Cycas spp. can occur in monsoon rainforest margins,"Burrawangs (Macrozamia spp.; ~40 species), Queensland nut cycads (Lepidozamia spp.). Many cycads are toxic unless carefully processed and some species can live for centuries.",https://profiles.ala.org.au/opus/foa/profile/Zamiaceae ; https://anpsa.org.au/plant-family/zamiaceae/ ; https://www.australiangeographic.com.au/topics/science-environment/2020/05/cycads-australias-living-fossils/
Anacardiaceae,NA,Anacardiaceae includes rainforest and woodland trees often producing resinous sap and fleshy fruits. Several Australian species are important canopy trees in tropical forests.,Yes,Buchanania spp.,"Native mangoes (Buchanania spp.), tar trees (Semecarpus australiensis). Some species contain skin-irritating compounds related to those found in poison ivy.",https://profiles.ala.org.au/opus/foa/profile/Anacardiaceae ; https://apps.lucidcentral.org/rainforest/text/entities/anacardiaceae.htm ; https://anpsa.org.au/plant-family/anacardiaceae/
Commelinaceae,dayflower family,Commelinaceae includes soft-stemmed herbs often associated with moist habitats and rainforest margins. Flowers are frequently bright blue or purple but short lived.,Minor,Moist forest herbs,"Native wandering trads (Commelina spp.), basket grasses (Cyanotis spp.). Many flowers open for only a single day.",https://profiles.ala.org.au/opus/foa/profile/Commelinaceae ; https://anpsa.org.au/plant-family/commelinaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/10cf5d3d-4c3c-4d07-b9c4-9c7f51e13f70
Stylidiaceae,triggerplant family,"Stylidiaceae is famous for Australia’s remarkable triggerplants, which possess touch-sensitive floral columns that rapidly flick onto visiting insects to transfer pollen. The family is especially diverse in southwestern Australia.",No rainforest specialists,,Triggerplants (Stylidium spp.; >300 Australian species). Some species may also supplement nutrients through carnivorous or proto-carnivorous behaviour.,https://profiles.ala.org.au/opus/foa/profile/Stylidiaceae ; https://anpsa.org.au/plant-family/stylidiaceae/ ; https://www.anbg.gov.au/carnivorous/plants/triggerplants.html
Violaceae,violet family,"Violaceae includes herbs and shrubs with delicate flowers often found in forests, grasslands and alpine habitats.",Yes potentially,Often rainforest herbs/shrubs though sparse here,"Native violets (Viola spp.), hybanthus shrubs (Hybanthus spp.). Several Australian violets spread vegetatively to form dense groundcovers in moist habitats.",https://profiles.ala.org.au/opus/foa/profile/Violaceae ; https://anpsa.org.au/plant-family/violaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/18f2f2e8-7c2b-4f9d-b1d7-5d7c2a6d1c1d
Rosaceae,rose family,"Although less diverse in Australia than in the Northern Hemisphere, Rosaceae includes shrubs and herbs occurring in forests, alpine areas and woodlands.",Minor alpine/wet taxa,,"Native raspberries (Rubus spp.), geums (Acaena spp.). Some species produce hooked fruits that cling to animal fur for dispersal.",https://profiles.ala.org.au/opus/foa/profile/Rosaceae ; https://anpsa.org.au/plant-family/rosaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/50eae0b1-3b95-4f59-9a62-ec0cf4e4a8d8
Capparaceae,caper family,Capparaceae includes shrubs and small trees often adapted to warm dry climates. Flowers are commonly large and showy with numerous stamens.,Minor-moderate,Monsoon vine thicket taxa,"Native capers (Capparis spp.), brush capers (Apophyllum anomalum). Some species produce strongly scented night-opening flowers pollinated by moths or bats.",https://profiles.ala.org.au/opus/foa/profile/Capparaceae ; https://anpsa.org.au/plant-family/capparaceae/ ; https://apps.lucidcentral.org/rainforest/text/entities/capparaceae.htm
Juncaceae,rush family,"Rushes are grass-like plants common in wetlands, saltmarshes and seasonally wet habitats. Unlike grasses, their flowers are usually small and inconspicuous.",Wetland not rainforest,,Rushes (Juncus spp.). Rushes play important roles in erosion control and wetland filtration systems.,https://profiles.ala.org.au/opus/foa/profile/Juncaceae ; https://www.anbg.gov.au/cpbr/cd-keys/rfk/key/rushes/Media/Html/families/Juncaceae.htm ; https://anpsa.org.au/plant-family/juncaceae/
Iridaceae,iris family,Iridaceae includes herbs with sword-like leaves and often striking flowers. Australian species are especially diverse in southern heathlands and grasslands.,No rainforest specialists,,"Native irises (Patersonia spp.), blue flags (Diplarrena moraea). Many species flower prolifically after fire or seasonal rain.",https://profiles.ala.org.au/opus/foa/profile/Iridaceae ; https://anpsa.org.au/plant-family/iridaceae/ ; https://www.anbg.gov.au/gnp/interns-2003/patersonia.html
Lecythidaceae,NA,Lecythidaceae is primarily a tropical rainforest family represented in Australia by several large canopy trees.,Yes,Planchonia careya (monsoon rainforest margins),"Idiospermum (Idiospermum australiense), often called the idiot fruit. This ancient rainforest species is considered a “living fossil” linked to Gondwanan rainforests.",https://profiles.ala.org.au/opus/foa/profile/Lecythidaceae ; https://apps.lucidcentral.org/rainforest/text/entities/lecythidaceae.htm ; https://www.australiangeographic.com.au/topics/science-environment/2015/09/idiot-fruit-a-living-fossil/
Crassulaceae,stonecrop family,Crassulaceae includes succulent herbs adapted to drought and rocky habitats through specialised water-storage tissues.,No,,Stonecrops (Crassula spp.). Many species can reproduce vegetatively from tiny stem or leaf fragments.,https://profiles.ala.org.au/opus/foa/profile/Crassulaceae ; https://anpsa.org.au/plant-family/crassulaceae/ ; https://vicflora.rbg.vic.gov.au/flora/taxon/4ecf4a52-c0df-4510-9a56-63f40d17a6a8
